nitrate_mid,phosphate_mid,avg_spills,n_overflows,spills_per_pipe,lc_woodland_1km,lc_arable_1km,lc_grass_1km,lc_wetland_1km,lc_urban_1km,lc_water_1km,lc_woodland_5km,lc_arable_5km,lc_grass_5km,lc_wetland_5km,lc_urban_5km,lc_water_5km
1.5,0.035,16.7225,4.0,14.0,1.9740777666999003,59.28215353938185,37.98604187437687,0.0,0.7577268195413759,0.0,2.953717651372052,59.0560218061832,36.491882457021255,0.0,1.4983780854234912,0.0
1.5,0.035,39.4375,4.0,35.75,22.583217061989235,0.4185768387482559,70.30097667929041,0.0,2.989834562487542,3.2290213274865454,19.4084688892254,19.327175203831963,49.307808178782345,0.0940456360433885,11.298228275856571,0.4750101617106742
7.5,0.035,0.27,2.0,0.5,3.96888711607499,42.50099720781811,37.17590745911448,0.0,16.354208216992422,0.0,14.70693736996915,44.66365353803477,35.308606547576346,0.0,5.307251436815967,0.0135511076037656
0.1,0.035,0.27,2.0,0.5,11.305732484076431,7.603503184713375,23.666401273885352,0.0,57.42436305732485,0.0,19.176477152262457,44.92392058089765,30.58480324563012,0.0,5.3012489937111935,0.0135500274985852
1.5,0.01,4.02,2.0,11.5,12.34543278819306,28.65975269246111,43.498205025927405,0.0,14.698843238930992,0.7977662544874352,16.051714930215134,52.95758706170241,27.271495412770907,0.3985429270586735,3.2058793052599697,0.1147803629928979
3.5,0.035,4.02,2.0,11.5,12.387791741472173,28.605625374027525,43.58667464592061,0.0,14.60203470975464,0.8178735288250548,16.049963332589357,52.96527755635621,27.270988107005067,0.398558811338201,3.201224372668431,0.1139878200427255
0.75,0.035,95.21,2.0,65.0,12.078931632449672,5.242176599561491,34.34323300777357,0.0,48.33565876021527,0.0,16.59705727630677,21.51647510800083,40.43216272656262,0.0,14.87701455420765,5.315553713474996
0.35,0.035,0.0,0.0,0.0,8.238805970149254,66.80597014925374,21.19402985074627,0.0,2.8855721393034823,0.0,21.899834997967364,31.139151714187783,34.93180713095741,0.0,10.36882338405618,0.247901604584984
1.5,0.035,0.0,0.0,0.0,5.41940625622634,3.885236102809325,86.531181510261,3.128113169954174,1.0360629607491532,0.0,2.5370671729500045,40.0257662055872,34.03286321309104,2.251152698671006,17.854398336497603,0.8114094566494892
0.1,0.15,0.0,0.0,0.0,3.052064631956912,79.81248753241572,13.564731697586277,0.0,3.570716138041093,0.0,5.077760683624421,57.76769842724933,22.691292875989447,1.1375140495340736,12.97260241213561,0.2726207462793645
0.1,0.01,0.0,0.0,0.0,33.081510934393634,14.890656063618293,42.62425447316103,0.0,9.403578528827037,0.0,18.36882711129531,29.7852838970893,38.420154939905,0.0,10.118117767080053,2.0252175853604104
3.5,0.035,0.27,2.0,0.5,8.192146701215867,54.235598963524026,31.03448275862069,0.0,6.198923659557504,0.3388479170819214,23.67735095536832,45.52686749196885,25.833605688367385,0.0,4.88007078573763,0.0821050785578203
10.0,0.01,0.27,2.0,0.5,9.214200239329877,6.182688472277623,29.15835660151576,0.0,55.44475468687674,0.0,19.422103543103105,43.35578494280818,31.97162329121996,0.0,5.236937547327726,0.0135506755410306
7.5,0.01,0.27,2.0,0.5,9.000398247710075,5.894066109119873,29.490242931103143,0.0,55.61529271206691,0.0,19.352936018938458,43.41258897329008,31.984951258977038,0.0,5.23597350528858,0.0135502435058465
